SMILES,Name,True_BBB,Prediction,Correct,Confidence,Prob_BBB_Plus,Prob_BBB_Minus
CNC(=O)Oc1ccc2c(c1)C1(C)CC[NH+](C)C1N2C,Compound_155,BBB+,BBB+,True,97.65%,0.9765,0.0235
CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,Compound_156,BBB+,BBB+,True,100.00%,1.0,0.0
CN(C)C1C(=O)C(C(=O)NCN2CCN(C(=N)N=C(N)N)CC2)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,Compound_157,BBB-,BBB-,True,99.82%,0.0018,0.9982
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,Compound_158,BBB-,BBB+,False,99.91%,0.9991,0.0009
CCCN1C[C@@H](CSC)CC2c3cccc4[nH]cc(c34)C[C@@H]21,Compound_159,BBB+,BBB+,True,100.00%,1.0,0.0
CC[C@@]12CCN(CC3CCC3)[C@@H](Cc3ccc(O)cc31)C2(C)C,Compound_160,BBB+,BBB+,True,99.99%,0.9999,0.0001
CC[C@H](NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,Compound_161,BBB-,BBB-,True,82.90%,0.171,0.829
CN1CC[C@]23c4c5ccc(OC6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,Compound_162,BBB-,BBB-,True,99.12%,0.0088,0.9912
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,Compound_163,BBB-,BBB+,False,62.24%,0.6224,0.3776
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,Compound_164,BBB-,BBB-,True,99.88%,0.0012,0.9988
CCn1c2c(c3ccccc31)CCSC2(C)CCN(C)C,Compound_165,BBB+,BBB+,True,99.96%,0.9996,0.0004
O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,Compound_166,BBB+,BBB-,False,98.32%,0.0168,0.9832
C=CCSCC(=O)NC1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]12,Compound_167,BBB-,BBB-,True,100.00%,0.0,1.0
C=C(C)C(=O)/C(=C/C(=O)O)OC,Compound_168,BBB+,BBB+,True,99.67%,0.9967,0.0033
CCOC(=O)CNC(C(=O)N1CCC1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,Compound_169,BBB-,BBB-,True,90.51%,0.0949,0.9051
Fc1ccc([C@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,Compound_170,BBB+,BBB+,True,99.99%,0.9999,0.0001
CCCCC(=O)OC1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4(C)[C@H]3[C@@H](O)CC21C,Compound_171,BBB+,BBB+,True,98.72%,0.9872,0.0128
CC(C)(C)NC(=O)[C@@]1(c2c(C(=O)O)[nH]c3cc(Cl)ccc23)N2C(=O)[C@]21c1ccc(OCc2ccc(Cl)cc2)cc1,Compound_172,BBB+,BBB+,True,68.66%,0.6866,0.3134
CCC(NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,Compound_173,BBB+,BBB+,True,70.60%,0.706,0.294
CNC1CCc2ncsc2C1,Compound_174,BBB+,BBB+,True,99.84%,0.9984,0.0016
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O,Compound_175,BBB-,BBB+,False,89.71%,0.8971,0.1029
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,Compound_176,BBB-,BBB-,True,99.86%,0.0014,0.9986
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3[nH]c(=O)c(=O)[nH][n+]3C)CSC12)c1csc(N)n1,Compound_177,BBB-,BBB+,False,50.19%,0.5019,0.4981
CCS[C@@]1(SC)CC[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@@H](O)C[C@]21C,Compound_178,BBB+,BBB+,True,98.88%,0.9888,0.0112
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](NC(=O)CN=C(N)c3ccncc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O,Compound_179,BBB-,BBB-,True,99.95%,0.0005,0.9995
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,Compound_180,BBB-,BBB+,False,97.93%,0.9793,0.0207
O=c1[nH]oc2c1CCNC2,Compound_181,BBB+,BBB+,True,54.53%,0.5453,0.4547
N[C@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,Compound_182,BBB+,BBB+,True,90.48%,0.9048,0.0952
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)CNC(=N)c3ccncc3)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,Compound_183,BBB-,BBB-,True,99.95%,0.0005,0.9995
O=C(O)CCCc1ccccc1,Compound_184,BBB-,BBB-,True,95.42%,0.0458,0.9542
CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Compound_185,BBB-,BBB-,True,61.97%,0.3803,0.6197
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,Compound_186,BBB-,BBB+,False,96.52%,0.9652,0.0348
Cc1sc2ncnc(N3CCC(Oc4ccc5c(c4)CCO5)CC3)c2c1C,Compound_187,BBB+,BBB+,True,99.53%,0.9953,0.0047
O=C([O-])C1=C(C[n+]2ccc(CCS(=O)(=O)O)cc2)CS[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3nc[nH]c3C(=O)O)c3ccccc3)C(=O)N12,Compound_188,BBB-,BBB-,True,97.06%,0.0294,0.9706
O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,Compound_189,BBB+,BBB+,True,99.99%,0.9999,0.0001
CC/C=C(/C)C1(CC)C(=O)NC(=O)NC1=O,Compound_190,BBB+,BBB+,True,100.00%,1.0,0.0
C[C@@H]1[C@H](O)[C@@H](C)C=CC=CC=CC=CC=CC=CC=C[C@H](O[C@H]2O[C@@H](C)[C@H](O)[C@@H](N)[C@@H]2O)C[C@H]2O[C@@](O)(C[C@H](O)C[C@H](O)[C@H](O)CC[C@H](O)C[C@@H](O)CC(=O)O[C@@H]1C)C[C@@H](O)[C@@H]2C(=O)O,Compound_191,BBB-,BBB-,True,99.94%,0.0006,0.9994
CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,Compound_192,BBB-,BBB+,False,99.84%,0.9984,0.0016
CC(c1noc2ccc(Cl)cc12)n1ccnc1,Compound_193,BBB+,BBB+,True,97.67%,0.9767,0.0233
CO[C@@H]1/C=C/O[C@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=C(NC3(CCN(CC(C)C)CC3)N2)[C@@H](NC(=O)/C(C)=C/C=C/[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,Compound_194,BBB-,BBB-,True,99.88%,0.0012,0.9988
COC(=O)C[C@H](c1cc(OC)c2c(c1)OCO2)c1oc(CN2C[C@@H]3C[C@H](C2)c2cccc(=O)n2C3)cc(=O)c1O,Compound_195,BBB+,BBB-,False,54.69%,0.4531,0.5469
NC[C@H]1CC[C@H](N)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@H](N)[C@@H]3O)[C@@H](N)C[C@H]2N)O1,Compound_196,BBB-,BBB-,True,98.42%,0.0158,0.9842
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,Compound_197,BBB+,BBB+,True,99.99%,0.9999,0.0001
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,Compound_198,BBB+,BBB+,True,94.79%,0.9479,0.0521
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,Compound_199,BBB-,BBB-,True,58.55%,0.4145,0.5855
CC(=O)c1ccc2c(c1O)[C@H](c1ccc(F)c(Cl)c1)CC(=O)O2,Compound_200,BBB-,BBB-,True,73.35%,0.2665,0.7335
