sequence,type,label
Clc1ccc(CN2CCOC(COc3ccccc3)C2)cc1,SMILES,1
Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,SMILES,1
Clc1ccc2c(CN3CCOC(COc4ccccc4)C3)c[nH]c2c1,SMILES,1
Cn1c2c(c(=O)n(C)c1=O)C(C(F)(F)F)(C(F)(F)F)N=C(c1cccc([N+](=O)[O-])c1)N2,SMILES,0
Cn1cc2c(-c3cc(F)c(CN4CCc5ncccc5C4=O)c(F)c3)cccc2n1,SMILES,1
Cn1cc2c(-c3cc(F)c(Cn4c(=O)cnc5ccccc54)c(F)c3)cccc2n1,SMILES,1
Cn1cc2c(-c3cc(F)c(Cn4cnc5ccccc5c4=O)c(F)c3)cccc2n1,SMILES,1
Cn1cc2c(-c3cc(F)c(Cn4cnc5cnccc5c4=O)c(F)c3)cccc2n1,SMILES,1
Cn1cc2cc(-c3cc(F)c(CN4CCn5nccc5C4=O)c(F)c3)ccc2n1,SMILES,1
Cn1cnc(S(=O)(=O)N2CC3C(C2)C3(CNC(=O)c2ccc(Cl)cc2)CC2CC2)c1,SMILES,1
Fc1ccc(CCC2CN(Cc3c[nH]c4cc(Cl)ccc34)CCC2(F)F)cc1,SMILES,1
Fc1ccc(CCC2CN(Cc3c[nH]c4cc(F)ccc34)CCC2(F)F)cc1,SMILES,1
Fc1ccc2c(CN3CCC(F)(F)C(CCc4ccccc4)C3)c[nH]c2c1,SMILES,1
Fc1ccc2c(CN3CCC(F)(F)C(CCc4ccccc4F)C3)c[nH]c2c1,SMILES,1
Fc1ccccc1CCC1CN(Cc2c[nH]c3cc(Cl)ccc23)CCC1(F)F,SMILES,1
N=C(N)NC[C@@H]1COC2(CCCCC2)O1,SMILES,1
N=C(N)NC[C@@H]1COc2ccccc2O1,SMILES,1
N=C(N)Nc1nc(-c2cccc(N)c2)cs1,SMILES,0
NC(=O)CCC/N=C(\c1ccc(Cl)cc1)c1cc(F)ccc1O,SMILES,1
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N/OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,SMILES,0
NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cc4cccs4)[C@H]3SC2)cc1,SMILES,0
NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)O)[C@H]3SC2)cc1,SMILES,0
NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,SMILES,1
NC[C@H]1CC[C@@H](C(=O)O)CC1,SMILES,1
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1,SMILES,0
N[C@]12CC3C[C@H](C[C@H](C3)C1)C2,SMILES,1
Nc1cccnc1C(=O)Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,SMILES,1
Nc1nc(N2CCCCC2)cc[n+]1[O-],SMILES,1
Nc1nc(O)c2c(n1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O,SMILES,1
Nc1ncc(/C(=N/OC2CCNC2=O)C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(C[n+]4ccccc4)CS[C@H]23)s1,SMILES,0
OC(C1=C(/C=C/C(NC2=CC=CC=C2)=O)C3=C(Cl)C=C(Cl)C=C3N1)=O,SMILES,0
O=C(C1CCN(c2cc(Oc3ccc(F)cc3F)ncn2)CC1)N1Cc2ccccc2C1,SMILES,1
C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=C3C(C(OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)OC(CC5=CC(=C(C=C5)O)O)C(=O)O)O)O,SMILES,0
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,SMILES,0
O=C(Nc1nc(C(F)(F)F)co1)C1c2ccccc2Oc2ccccc21,SMILES,1
C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,SMILES,0
O=C(O)[C@H]1CCN1[C@]12CC3C[C@H](C[C@H](C3)C1)C2,SMILES,1
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,SMILES,1
O=C(O[C@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,SMILES,1
O=C([O-])C1=C(C[n+]2ccc(CCS(=O)(=O)O)cc2)CS[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3nc[nH]c3C(=O)O)c3ccccc3)C(=O)N12,SMILES,0
O=C(c1ccc(F)cc1)N1CCc2nc(COc3cccc(F)c3)oc2C1,SMILES,1
O=C(c1n[nH]c2ncccc12)N1CCc2nc(COc3ccccc3)oc2C1,SMILES,1
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,SMILES,1
C1CC2CN3C(CC=CC3=O)C4C2N(C1)CCC4,SMILES,1
C1CC2CN3C(CC=CC3=O)C4C2[N+](C1)(CCC4)[O-],SMILES,0
C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1,SMILES,0
C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-],SMILES,0
C1=CC(=C(C=C1C=O)O)O,SMILES,0
O=[N+]([O-])C1C(NCCSCc2ccccn2)=NCC1Cc1ccccc1,SMILES,1
O=[N+]([O-])c1ccc(O)c2ncccc12,SMILES,1
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O,SMILES,0
O=c1c2ccncc2ncn1Cc1c(F)cc(-c2ccc3cnccc3c2)cc1F,SMILES,1
C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,SMILES,1
C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3,SMILES,1
C1=CC(=CC=C1CCOC2C(C(C(C(O2)CO)O)O)O)O,SMILES,0
C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6.[Cl-],SMILES,1
